Total Impact Rank,Rate Rank (10+ Min),Game Sequence,Game ID,Date,Player,Player ID,Team,Opponent,Minutes,Pregame Player Offence / 40,Pregame Player Defence / 40,Pregame Player Net / 40,Expected Team Points While On,Actual Team Points While On,Offensive Adjusted Points,Expected Opponent Points While On,Actual Opponent Points While On,Defensive Adjusted Points,Net Adjusted Points,Net Adjusted Points / 40,Expected Lineup Net / 40,Actual Lineup Net / 40,Postgame Player Offence / 40,Postgame Player Defence / 40,Postgame Player Net / 40,Postgame Rating Change,Games To Date,Minutes To Date,Reliability
1,2,174,401857063,2026-07-13,Tyasha Harris,4065760,IND,LV,22.516666666666666,-0.8439220122508055,1.229505965205271,0.38558395295446535,48.5918648049884,78.0,29.408135195011603,52.83790760993487,44.0,8.837907609934867,38.24604280494647,67.94263710723281,-7.542933184212833,60.39970392301999,0.829252681837031,1.5993199912150735,2.4285726730521047,2.0429887200976395,18,264.1633333317935,0.46823910333150776
2,23,170,401857058,2026-07-11,Jewell Loyd,2987869,LV,PHX,28.233333333333338,0.8627429091729171,-3.096334970260012,-2.233592061087095,60.29987316888271,81.0,20.700126831117288,59.994472152054215,44.0,15.994472152054215,36.6945989831715,51.98762547792892,0.43268148783258403,52.420306965761505,1.6122711858375336,-2.918949885008786,-1.3066786991712522,0.926913361915843,21,586.2016666730246,0.6614766014531895
3,4,174,401857063,2026-07-13,Sophie Cunningham,3907781,IND,LV,23.266666666666666,1.8908915583873704,-3.255934723595715,-1.3650431652083443,50.84077156292284,75.0,24.15922843707716,56.03077060934721,44.0,12.030770609347208,36.18999904642437,62.2177634035949,-8.922634463766808,53.29512893982808,2.929673174914841,-2.9399488645031906,-0.010275689588349568,1.3547674756199948,22,497.88999998569494,0.6240083219423999
4,43,132,401857021,2026-06-25,Marina Mabrey,3904576,TOR,LA,32.016666666666666,-0.9463157069513624,-2.4595627054160434,-3.4058784123674055,72.77323874426499,104.0,31.226761255735013,72.8909515215502,68.0,4.890951521550207,36.11771277728522,45.123639076254314,-0.14706437557760266,44.97657470067673,0.0008903347645200337,-1.9569313231705856,-1.9560409884060657,1.4498374239613399,18,515.6516667683919,0.6321959333589072
5,9,11,401856900,2026-05-11,Laeticia Amihere,4432834,GS,PHX,24.37833334604899,0.568013323278928,-0.7138774046374274,-0.1458640813584995,47.33061409448944,73.0,25.66938590551056,53.297072088751385,43.0,10.297072088751385,35.966457994261944,59.01380949012423,-9.789771777370389,49.22403771275384,2.9573069050028686,0.29548589744696174,3.2527928024498305,3.39865688380833,2,40.295000012715654,0.11841196612118887
6,24,170,401857058,2026-07-11,Chelsea Gray,2529122,LV,PHX,27.723333332935965,2.475751465285652,-0.8211331457076293,1.6546183195780229,62.553035636192476,74.0,11.446964363807524,57.41498807112068,33.0,24.414988071120682,35.861952434928206,51.742627056066695,7.413318598262021,59.155945654328725,2.650144788499611,-0.3421562269480779,2.307988561551533,0.6533702419735103,23,759.3066666980585,0.7167958916607942
7,18,5,401856894,2026-05-09,Natasha Mack,4068042,PHX,LV,25.27999998728434,0.0,0.0,0.0,50.9344729652478,67.0,16.0655270347522,51.27274359350198,33.0,18.27274359350198,34.33827062825418,54.332706717604566,-0.5352383361144462,53.79746838149012,1.2891293991284825,1.7419275230636913,3.0310569221921737,3.0310569221921737,1,25.27999998728434,0.07771765859650939
8,25,82,401856971,2026-06-07,Erica Wheeler,2491214,LA,POR,26.566666666666666,2.3117794379835015,-0.49037075898302324,1.8214086790004782,58.06866625638469,69.0,10.931333743615312,58.013682277855324,35.0,23.013682277855324,33.945016021470636,51.10918347021928,0.0827864168572349,51.19196988707654,3.05565545590148,0.7942522279961958,3.849907683897676,2.0284990048971974,11,313.1116666793823,0.5106927231954297
9,56,140,401857029,2026-06-28,Jade Melbourne,5017726,SEA,ATL,30.56666666666666,-3.480508462581993,0.41401596803010743,-3.066492494551886,60.57582553493481,87.0,26.424174465065192,67.25503195635382,61.0,6.255031956353818,32.67920642141901,42.76450131483405,-8.740510038934364,34.02399127589968,-2.260447421113818,0.9474470126368999,-1.3130004084769182,1.7534920860749676,19,443.1066666682561,0.5962894514927982
10,93,169,401857059,2026-07-11,Bridget Carleton,3906972,POR,ATL,33.95,-0.23995910143199461,-3.243691675665543,-3.483650777097538,66.68687697184579,87.0,20.31312302815421,81.10158765704278,69.0,12.101587657042785,32.414710685196994,38.19111715487127,-16.983458833810865,21.207658321060382,0.33561294251738544,-2.5619968046172534,-2.226383862099868,1.2572669149976696,22,666.9100000381469,0.6897332740501554
